LookupCode,AccountName,ActivityCode,Description,WhoOwnerCode,FollowupStartDate,Association,Aging Status
CREEHOM-01,Creekside Homeowners Association Inc.,REVI,Review coverage limits for REN,DESKA1,1/1/2022,Policy - CPKG - CAU507918-3,Overdue
CREEIHO-01,Creekside I HOA,*BRN,Change Branch for Account,DISDA1,1/6/2022,Account - Creekside I HOA,Overdue
CREEMAN-01,Creekside Manor HOA,CLRC,Close/Reopen Claim,FISTI1,10/25/2021,Claim - Jul  6 2021 12:00AM - 9443,Overdue
CREEMAN-01,Creekside Manor HOA,CLRC,Close/Reopen Claim,FISTI1,12/8/2021,Claim - Jul  6 2021 12:00AM - 9443,Overdue
CREEMAN-01,Creekside Manor HOA,REVI,Review coverage limits for REN,CADJE1,5/11/2021,Policy - CPKG - CBP1820181-02,Overdue
CREEOFF-01,Creekside Office Condominium Association,APOL,Added CRIM policy effective 12/18/2021,AVEMI1,12/20/2021,Policy - CRIM - TBA,Overdue
CREEOFF-01,Creekside Office Condominium Association,REQF,Request for Financials - Creekside Office Condominium Association,GIALE1,11/9/2021,Account - Creekside Office Condominium Association,Overdue
CREERAN-01,Creekwood Ranch HOA,RENR,Renewal of Property effective 7/23/2021,AVEMI1,7/31/2021,Policy - CPKG - PHPK2306464,Overdue
CREERAN-01,Creekwood Ranch HOA,REQF,Request for Financials - Creekwood Ranch HOA,GIALE1,12/16/2021,Account - Creekwood Ranch HOA,Overdue
CRESATD-01,The Crest At Del Mar HOA,ADOP,Add Opportunity,TAHNI1,6/19/2021,Opportunities,Overdue
CRESCOM-01,Crest/Promontory Common Area,RNWL,Review insurance and proposal package policies,LOPVI1,1/4/2022,Account - Crest/Promontory Common Area,Overdue
CRESFAL-02,Crescent Falls Community Association,RPOL,Package Policy Here?,FITME1,1/19/2022,Account - Crescent Falls Community Association,Overdue
CRESFLA-01,Crestview Flagstaff HOA,REVI,Review coverage limits for REN,ANDAS1,10/18/2021,LOB - PROP - 2863089,Overdue
CRESHOA-03,Crestline HOA,ADOP,Add Opportunity,LINBR1,11/6/2021,Opportunities,Overdue
CRESHOM-03,The Crest Homeowners Association,CALU,TRV endt to incr ded to $10k,MAVMA1,10/7/2020,LOB - BOP  - 680-2C1930212042,Overdue
CRESOFC-01,The Crest of Calavera Hills,RPOL,CAU Pkg policy here?,ARRCA1,4/25/2021,Account - The Crest of Calavera Hills,Overdue
CRESPRO-01,Crest Promontory I HOA,RNWL,Renewal of  effective 12/1/20,ROBJO1,10/1/2021,Account - Crest Promontory I HOA,Overdue
CRESROA-02,Creston Road Condominium Association,RPOL,Prop/Excess Prop/GL/Umb Policy Here?,ARRCA1,1/17/2022,Account - Creston Road Condominium Association,Overdue
CRESTER-02,Cresent Terrace HOA,REVI,Review coverage limits for REN,ROBJO1,9/1/2021,LOB - WCOM - 20200106654484Y,Overdue
CRESVER-01,Cresta Verde Hills,*DIS,Create Disclosure Statement - Cresta Verde Hills,MAVMA1,11/12/2021,Account - Cresta Verde Hills,Overdue
CRESVER-02,Cresta Verde HOA,REVI,Review coverage limits for REN,CLASH1,12/1/2021,Policy - CPKG - PHPK2092520,Overdue
CROSHOA-02,Crosspointe HOA,CALL,Unit count?,GRAGE1,7/4/2019,Policy - CPKG - PACE432879-01,Overdue
CROSHOA-02,Crosspointe HOA,REVI,Review coverage limits for REN,GRAGE1,2/4/2021,Policy - CPKG - PACE432879-01,Overdue
CROSRIV-01,*Cross River HOA,*QTE,PMA $750 000 Crime,BRULE1,11/23/2021,Account - *Cross River HOA,Overdue
CROSRIV-01,*Cross River HOA,*QTE,PHilly D&O Qte,BRULE1,11/23/2021,Account - *Cross River HOA,Overdue
CROSRIV-01,*Cross River HOA,ADOP,AAM with Farmers $13 366,BRULE1,12/4/2021,Opportunities,Overdue
CROWLAU-01,Crown Laurel Garden Society,RPOL,PMA CR policy here?,ARRCA1,6/6/2021,Account - Crown Laurel Garden Society,Overdue
CROWPOI-07,Crown Point Unit 3 Condominiums,REQF,Request for Financials - Crown Point Unit 3 Condominiums,GIALE1,12/27/2021,Account - Crown Point Unit 3 Condominiums,Overdue
CROWRID-02,Crown Ridge HOA,CS24,CSR24 Agency Cert: Vintage Management,ARRCA1,7/22/2021,Account - Crown Ridge HOA,Overdue
CROWROY-01,Crown Royale HOA,APOL,Added CPKG policy effective 9/1/2020,CANCR1,4/18/2021,Policy - CPKG - 2819784,Overdue
CROWROY-01,Crown Royale HOA,CPOL,Cancelled policy/line Cancel D&O to add to pkg Eff: 9/1/2021,MAVMA1,8/25/2021,Policy - DOLI - PCAP011985-0318,Overdue
CRYERAN-01,Cryer Ranch Homeowners Association,REQF,Request for Financials - Cryer Ranch HOA,GIALE1,11/15/2021,Account - Cryer Ranch Homeowners Association,Overdue
CRYSCAN-01,Crystal Canyon Homeowners Association,AMMK,Added master marketing submission for Crystal Canyon Homeowners Association,AVEMI1,9/18/2021,Master Marketing Submission,Overdue
CRYSCAN-01,Crystal Canyon Homeowners Association,APOL,Added PROP policy effective 11/18/2021,AVEMI1,11/21/2021,Policy - PROP - LHD427823/W30D3C210101,Overdue
CRYSCAN-01,Crystal Canyon Homeowners Association,APOL,Added GLIA policy effective 11/18/2021,AVEMI1,11/21/2021,Policy - GLIA - CIP436481-48248242,Overdue
CRYSCAN-01,Crystal Canyon Homeowners Association,APOL,Added DOLI policy effective 11/18/2021,AVEMI1,11/21/2021,Policy - DOLI - PCAP031120-0121,Overdue
CRYSCAN-01,Crystal Canyon Homeowners Association,CPOL,Cancelled policy/line Too much money; All Risk increased too much Eff: 1/30/2022,HYCLE1,11/29/2021,Policy - EQKC - GLAG1003963/IMA368244,Overdue
CRYSCRE-01,Crystal Creek HOA Inc.,REQF,Request for Financials - Crystal Creek HOA Inc.,GIALE1,1/17/2022,Account - Crystal Creek HOA Inc.,Overdue
CRYSCRE-01,Crystal Creek HOA Inc.,REVI,Review coverage limits for REN,ARRCA1,1/1/2022,Policy - CPKG - CAU507550,Overdue
CRYSGAR-01,Crystal Gardens Homeowners' Association,*QTE,PMA Crime $600 000,BRULE1,12/31/2021,Account - Crystal Gardens Homeowners' Association,Overdue
CRYSGAR-01,Crystal Gardens Homeowners' Association,*QTE,Philly D&O quote,BRULE1,12/31/2021,Account - Crystal Gardens Homeowners' Association,Overdue
CRYSGAR-01,Crystal Gardens Homeowners' Association,ADOP,Add Opportunity,BRULE1,1/3/2022,Opportunities,Overdue
CRYSGAR-01,Crystal Gardens Homeowners' Association,AMMK,Added master marketing submission for Crystal Gardens Homeowners' Association,BRULE1,1/3/2022,Master Marketing Submission,Overdue
CRYSTER-01,Crystal Terrace HOA,REQF,Request for Financials - Crystal Terrace HOA,GIALE1,12/16/2021,Account - Crystal Terrace HOA,Overdue
CUCAMOU-01,Cucamonga Mountain Shadows HOA,APOL,Added CPKG policy effective 1/6/2022,BOYJA1,1/16/2022,Policy - CPKG - CBP2220009-00,Overdue
CUCAMOU-01,Cucamonga Mountain Shadows HOA,APOL,Added WCOM policy effective 1/6/2022,BOYJA1,1/16/2022,Policy - WCOM - 2022011371202Y,Overdue
CUCAMOU-01,Cucamonga Mountain Shadows HOA,APOL,Added CRIM policy effective 1/6/2022,BOYJA1,1/16/2022,Policy - CRIM - WIB-CI-10003337-00,Overdue
CUCAMOU-01,Cucamonga Mountain Shadows HOA,APOL,Added DOLI policy effective 1/6/2022,BOYJA1,1/16/2022,Policy - DOLI - PCAP032193-0122,Overdue
CUCAMOU-01,Cucamonga Mountain Shadows HOA,CNPR,DON NOC eff 2/5/22,ABEDE1,1/19/2022,Policy - CPKG - CBP2220009-00,Overdue
CUPEWAT-01,Cupertino Waterfall Homeowners Association,ADOP,Add Opportunity,TAHNI1,5/6/2021,Opportunities,Overdue
CUPEWAT-01,Cupertino Waterfall Homeowners Association,APOL,Added CPKG policy effective 7/16/2021,TAHNI1,5/7/2021,Policy - CPKG - CBP2120199-00 ,Overdue
CUPEWAT-01,Cupertino Waterfall Homeowners Association,APOL,Added DOLI policy effective 7/16/2021,TAHNI1,7/12/2021,Policy - DOLI - PCAP029659-0121,Overdue
CUPEWAT-01,Cupertino Waterfall Homeowners Association,APOL,Added CUMB policy effective 7/16/2021,TAHNI1,7/12/2021,Policy - CUMB - USL00656920U-66500-1,Overdue
CUPEWAT-01,Cupertino Waterfall Homeowners Association,APOL,Added CRIM policy effective 7/16/2021,TAHNI1,7/12/2021,Policy - CRIM - 4121010611939Y,Overdue
CUPEWAT-01,Cupertino Waterfall Homeowners Association,APOL,Added WCOM policy effective 7/16/2021,TAHNI1,7/12/2021,Policy - WCOM - 2021010611939Y,Overdue
CUPEWAT-01,Cupertino Waterfall Homeowners Association,APOL,Added CRIM policy effective 7/16/2021,TAHNI1,7/15/2021,Policy - CRIM - G72534141 001,Overdue
CYPRCOV-04,Cyprus Cove Community Association,*BRN,Change Branch for Account,DISDA1,1/7/2022,Account - Cyprus Cove Community Association,Overdue
CYPRLAN-02,Cypress Landing Owners Assn.,REVI,Review coverage limits for REN,CADJE1,6/14/2021,Policy - BOP  - 680-0L602138,Overdue
CYPRPAR-04,Cypress Park HOA,*DIS,Create Disclosure Statement - Cypress Park HOA,MAVMA1,11/10/2021,Account - Cypress Park HOA,Overdue
CYPRPLA-01,Cypress Plaza Condo HOA,APOL,Added CPKG policy effective 6/24/2020,CANCR1,4/15/2021,Policy - CPKG - 6806400N8682042,Overdue
CYPRPLA-01,Cypress Plaza Condo HOA,REVI,Review coverage limits for REN,CADJE1,4/24/2021,LOB - BOP  - 6806400N8681942,Overdue
CYPRPOI-14,*cypress Point At Rancho Mirage,EXDT,Contact Heather Farmer for 4/1/22 renewal,HAYBE1,1/17/2022,Account - *cypress Point At Rancho Mirage ,Overdue
CYPRSTA-01,Cypress Station Association Inc.,APOL,Added CRIM policy effective 1/1/2022,ASACR1,1/14/2022,Policy - CRIM - WIB-CI-10000397-05,Overdue
CYRUHOA-01,The Village of Cyrus HOA,RPOL,UCA Pkg policy here?,ARRCA1,4/23/2021,Account - The Village of Cyrus HOA,Overdue
DAHLCOU-03,Dahlia Court Community Association,*DIS,Create Disclosure Statement - Dahlia Court Community Association,MAVMA1,10/25/2021,Account - Dahlia Court Community Association,Overdue
DANABLU-01,Dana Bluffs HOA,CPOL,Cancelled policy/line lost account Eff: 10/11/2021,MAVMA1,11/4/2021,Policy - WCOM - 2020010645689Y,Overdue
DANABLU-01,Dana Bluffs HOA,CPOL,Cancelled policy/line lost account Eff: 9/12/2021,MAVMA1,11/4/2021,Policy - CRIM - 4120010645689Y,Overdue
DANABLU-01,Dana Bluffs HOA,CPOL,Cancelled policy/line lost account Eff: 9/12/2021,MAVMA1,11/4/2021,Policy - CRIM - G71828049 002,Overdue
DANABLU-01,Dana Bluffs HOA,RENR,Renewal of Worker's Compensation effective 10/11/2021,MAVMA1,10/26/2021,Policy - WCOM - 2020010645689Y,Overdue
DANABLU-01,Dana Bluffs HOA,RENR,Renewal of Crime/Fidelity Bond effective 9/12/2021,MAVMA1,10/26/2021,Policy - CRIM - G71828049 002,Overdue
DANABLU-01,Dana Bluffs HOA,RENR,Renewal of Crime/Fidelity Bond effective 9/12/2021,MAVMA1,10/26/2021,Policy - CRIM - 4120010645689Y,Overdue
DANAPAC-01,Dana Pacific Management Servic,DREN,need pckg policy,SMIJO1,7/7/2021,Policy - CPKG - PM1003187K,Overdue
DANAPOI-02,Dana Point Seaview Condo Assn,CS24,CSR24 Agency Cert: Common Interests Inc.,CADJE1,7/23/2021,Account - Dana Point Seaview Condo Assn,Overdue
DANAPOI-02,Dana Point Seaview Condo Assn,REVI,Review coverage limits for REN,CADJE1,6/1/2021,LOB - BOP  - 680-0C440864 - OLD,Overdue
DANIZEG-01,Daniel Zegers Construction Inc,REQF,Request for Financials - Daniel Zegers Construction Inc,GIALE1,11/17/2021,Account - Daniel Zegers Construction Inc,Overdue
DCRANCH-01,DC Ranch Parcel 4.2 Condo Assn,DREN,need policy/send all to ins,SMIJO1,11/24/2021,Policy - CPKG - SNI0006268-00,Overdue
DEANCOU-01,Deanne Court Condominium Association,*QTE,PMA $175 000 Crime,BRULE1,1/17/2022,Account - Deanne Court Condominium Association,Overdue
DEERVAL-02,Deer Valley Sunrise Property Owners Assn,CALL,Pkg/D&O ends to chg mgt co here?,PEUNA1,3/10/2021,Account - Deer Valley Sunrise Property Owners Assn,Overdue
DEERVAL-02,Deer Valley Sunrise Property Owners Assn,REQF,Request for Financials - Deer Valley Sunrise Property Owners Assn,GIALE1,12/11/2021,Account - Deer Valley Sunrise Property Owners Assn,Overdue
DEERVAL-02,Deer Valley Sunrise Property Owners Assn,REVI,Review coverage limits for REN,PEUNA1,11/21/2021,Policy - CPKG - 2808611,Overdue
DELCAMI-01,Del Camino Villas POA,DREN,need pckg policy /send all to ins when it comes in,SMIJO1,4/28/2021,Policy - CPKG - PHPK2262573,Overdue
DELCAMI-01,Del Camino Villas POA,RNWL,Package effective 4/15/2022,SMIJO1,1/1/2022,Policy - CPKG - PHPK2262573,Overdue
DELCAMI-01,Del Camino Villas POA,RNWL,D&O effective 4/15/2022,SMIJO1,1/1/2022,Policy - DOLI - PCAP004833-0418,Overdue
DELCAMI-01,Del Camino Villas POA,RNWL,WC effective 4/15/2022,SMIJO1,1/1/2022,Policy - WCOM - 2021010869578Y,Overdue
DELCAMI-01,Del Camino Villas POA,RNWL,Crime effective 4/15/2022,SMIJO1,1/1/2022,Policy - CRIM - 4121010869578Y,Overdue
DELCERVI02,Vista Del Cerro HOA,*QTE,Create and Attach Quote - [CARRIER] / [LINE],LINBR1,12/6/2021,Account - Vista Del Cerro HOA,Overdue
DELCERVI02,Vista Del Cerro HOA,@ADC,Address Applied to Other Items,LINBR1,12/6/2021,Account - Vista Del Cerro HOA,Overdue
DELCERVI02,Vista Del Cerro HOA,ADOP,Add Opportunity,LINBR1,12/5/2021,Opportunities,Overdue
DELMARV-01,Del Mar Villas Community Association,ADOP,Add Opportunity,TAHNI1,3/28/2021,Opportunities,Overdue
DELRIOC-01,Del Rio Court Condo Assoc.,CS24,CSR24 Agency Cert: Del Rio Court Condominium Association,CADJE1,7/17/2021,Account - Del Rio Court Condo Assoc.,Overdue
DELRIOC-01,Del Rio Court Condo Assoc.,REVI,Review coverage limits for REN,CADJE1,5/30/2021,Policy - CPKG - CAU500636-3,Overdue
DELRIOR-01,Del Rio Ranch Homeowners Association,*QTE,PMA Crime $875 000,BRULE1,12/31/2021,Account - Del Rio Ranch Homeowners Association,Overdue
DELRIOR-01,Del Rio Ranch Homeowners Association,*QTE,PHilly D&O Quote,BRULE1,12/31/2021,Account - Del Rio Ranch Homeowners Association,Overdue
DELRIOR-01,Del Rio Ranch Homeowners Association,ADOP,Add Opportunity,BRULE1,1/3/2022,Opportunities,Overdue
DELRIOR-01,Del Rio Ranch Homeowners Association,AMMK,Added master marketing submission for Del Rio Ranch,BRULE1,1/3/2022,Master Marketing Submission,Overdue
DELWEBB-01,Del Webb at Rancho del Lago,*BRN,Change Branch for Account,DISDA1,1/7/2022,Account - Del Webb at Rancho del Lago,Overdue
DESALLE-01,De Salle Terrace HOA,RNWL,Renewal of all effective 4/24,HYCLE1,1/1/2022,Account - De Salle Terrace HOA,Overdue
DESEBEA-01,Desert Beach Homeowners Assn.,APOL,Added DOLI policy effective 6/1/2020,CANCR1,6/4/2021,Policy - DOLI - PCAP006083-0318,Overdue
DESEBEA-01,Desert Beach Homeowners Assn.,APOL,Added WCOM policy effective 6/16/2020,CANCR1,6/4/2021,Policy - WCOM - 2020010581686Y,Overdue
DESEBEA-01,Desert Beach Homeowners Assn.,APOL,Added CPKG policy effective 6/1/2020,CANCR1,6/4/2021,Policy - CPKG - CAU510370-3,Overdue
DESECOL-01,The Desert Collection O/A,*BRN,Change Branch for Account,DISDA1,1/12/2022,Account - The Desert Collection O/A,Overdue
DESEHEI-01,Desert Heights HOA,REVI,Review coverage limits for REN,FITME1,1/12/2022,Policy - CPKG - 2841375,Overdue
DESELIN-02,Desert Linn Owners' Assoc,RNWL,Package  effective 3/31/2022,SMIJO1,12/1/2021,Policy - CPKG - CAU516058-2,Overdue
DESEMOU-03,Desert Mountain Master Association,*DIS,Create Disclosure Statement - Desert Mountain Master Association,MAVMA1,1/3/2022,Account - Desert Mountain Master Association,Overdue
DESEMOU-03,Desert Mountain Master Association,REQF,Request for Financials - Desert Mountain Master Association,GIALE1,11/17/2021,Account - Desert Mountain Master Association,Overdue
DESEMOU-04,The Desert Mountain Owners Association For Mountain Skyline,REQF,Request for Financials - The Desert Mountain Owners Association For Mountain Skyline,GIALE1,11/18/2021,Account - The Desert Mountain Owners Association For Mountain Skyline,Overdue
DESEMTN-02,The Desert Mountain Owners Association For Cochise Ridge,*DIS,Create Disclosure Statement - The Desert Mountain Owners Association For Cochise Ridge,MAVMA1,1/3/2022,Account - The Desert Mountain Owners Association For Cochise Ridge,Overdue
DESEMTN-02,The Desert Mountain Owners Association For Cochise Ridge,REQF,Request for Financials - The Desert Mountain Owners Association For Cochise Ridge,GIALE1,11/18/2021,Account - The Desert Mountain Owners Association For Cochise Ridge,Overdue
DESEMTN-03,The Desert Mountain Owners Association For Gambel  Quail  Sunrise  And Eagle Feather,*DIS,Create Disclosure Statement - The Desert Mountain Owners Association For Gambel  Quail  Sunrise  And Eagle Feather,MAVMA1,1/3/2022,"Account - The Desert Mountain Owners Association For Gambel, Quail, Sunrise, And Eagle Feather",Overdue
DESEMTN-03,The Desert Mountain Owners Association For Gambel  Quail  Sunrise  And Eagle Feather,REQF,Request for Financials - The Desert Mountain Owners Association For Gambel  Quail  Sunrise  And Eagle Feather,GIALE1,11/18/2021,"Account - The Desert Mountain Owners Association For Gambel, Quail, Sunrise, And Eagle Feather",Overdue
DESEMTN-05,The Desert Mountain Owners Association For Turquoise Ridge,*DIS,Create Disclosure Statement - The Desert Mountain Owners Association For Turquoise Ridge,MAVMA1,1/3/2022,Account - The Desert Mountain Owners Association For Turquoise Ridge,Overdue
DESEMTN-05,The Desert Mountain Owners Association For Turquoise Ridge,REQF,Request for Financials - The Desert Mountain Owners Association For Turquoise Ridge,GIALE1,11/18/2021,Account - The Desert Mountain Owners Association For Turquoise Ridge,Overdue
DESEOAS-01,*desert Oasis Of Surprise Master Association,*QTE,Philly D&O qte,BRULE1,12/31/2021,Account - *desert Oasis Of Surprise Master Association,Overdue
DESEOAS-01,*desert Oasis Of Surprise Master Association,*QTE,PMA cirme $1 325 000,BRULE1,12/31/2021,Account - *desert Oasis Of Surprise Master Association,Overdue
DESEOAS-01,*desert Oasis Of Surprise Master Association,ADOP,Add Opportunity,BRULE1,1/3/2022,Opportunities,Overdue
DESEOAS-01,*desert Oasis Of Surprise Master Association,AMMK,Added master marketing submission for *desert Oasis Of Surprise Master Association,BRULE1,1/3/2022,Master Marketing Submission,Overdue
DESEPOI-03,Desert Point Estates HOA,NTEM,Binding conditions here?,FORLA1,12/7/2021,Account - Desert Point Estates HOA,Overdue
DESEPRI-02,Desert Princess Country Club,EXDT,Exdate follow-up; 05/15/04,LINBR1,1/30/2020,Account - Desert Princess Country Club,Overdue
DESERID-01,Desert Ridge Community Association,*QTE,Create and Attach Quote - [PMA / WC},TAHNI1,7/27/2021,Account - Desert Ridge Community Association,Overdue
DESERIV-01,Desert River Estates,RNWL,Do we bind EQ,OTIMA1,12/14/2021,Account - Desert River Estates,Overdue
DESESHO-03,Desert Shores Property Owners Association,REQF,Request for Financials - Desert Shores Property Owners Association,GIALE1,12/2/2021,Account - Desert Shores Property Owners Association,Overdue
DESESHO-04,Desert Shores Villas Condo UOA,*BRN,Change Branch for Account,DISDA1,1/7/2022,Account - Desert Shores Villas Condo UOA,Overdue
DESESHO-04,Desert Shores Villas Condo UOA,RNWL,D&O effective 3/17/2022,SMIJO1,12/1/2021,Policy - DOLI - DO6NABY1ZD002,Overdue
DESESHO-04,Desert Shores Villas Condo UOA,RNWL,Package effective 3/17/2022,SMIJO1,12/1/2021,Policy - CPKG - PHPK2250476,Overdue
DESESHO-04,Desert Shores Villas Condo UOA,RNWL,Umbrella effective 3/17/2022,SMIJO1,12/1/2021,Policy - CUMB - PPP7472469L21A-01,Overdue
DESESHO-04,Desert Shores Villas Condo UOA,RNWL,Crime effective 3/17/2022,SMIJO1,12/1/2021,Policy - CRIM - PCAC009637-0220,Overdue
DESESHO-04,Desert Shores Villas Condo UOA,RNWL,WC effective 3/17/2022,SMIJO1,12/1/2021,Policy - WCOM - 2021010747378Y,Overdue
DESESON-01,Desert Song Community Association,*QTE,Phllly D&O,BRULE1,11/17/2021,Account - Desert Song Community Association,Overdue
DESESTA-01,Desert Star Homeowners Association Inc.,*POL,DESESTA-01 - Desert Star Homeowners Association Inc. - CPKG - CAU505226-5,NICTR1,1/13/2022,Policy - CPKG - CAU505226-5,Overdue
DESESTA-01,Desert Star Homeowners Association Inc.,REQF,Request for Financials - Desert Star Homeowners Association Inc.,GIALE1,11/29/2021,Account - Desert Star Homeowners Association Inc.,Overdue
DESESUN-02,*desert Sunset Homeowners Association,*QTE,PMA Crimie $100 000,BRULE1,11/12/2021,Account - *desert Sunset Homeowners Association,Overdue
DESESUN-02,*desert Sunset Homeowners Association,*QTE,Philly D&O quote,BRULE1,11/12/2021,Account - *desert Sunset Homeowners Association,Overdue
DESEWIL-02,Desert Willows Property Owner Association,*BRN,Change Branch for Account,DISDA1,1/10/2022,Account - Desert Willows Property Owner Association,Overdue
DESEWIL-02,Desert Willows Property Owner Association,CALL,Call mgmt for response to LCR,HYCLE1,10/13/2021,Account - Desert Willows Property Owner Association,Overdue
DESEWIL-02,Desert Willows Property Owner Association,SSIG,Send to eSignature - Umbrella Application.pdf,TAHNI1,1/28/2021,Attachment,Overdue
DESEWIL-02,Desert Willows Property Owner Association,SSIG,Send to eSignature - Umbrella Application.pdf,TAHNI1,1/28/2021,Attachment,Overdue
DESEWIL-02,Desert Willows Property Owner Association,SSIG,Send to eSignature - Work Comp Application.pdf,TAHNI1,1/28/2021,Attachment,Overdue
DESEWIL-02,Desert Willows Property Owner Association,SSIG,Send to eSignature - Work Comp Application.pdf,TAHNI1,1/28/2021,Attachment,Overdue
DEVOHOA-01,Devonshire/Haskel HOA,*QTE,PMA $100 000 crime,BRULE1,9/22/2021,Account - Devonshire/Haskel HOA,Overdue
DEVOHOA-01,Devonshire/Haskel HOA,*QTE,Philly D&O quote,BRULE1,9/22/2021,Account - Devonshire/Haskel HOA,Overdue
DEVOSQU-01,Devonshire Square Condo Association,*QTE,PMA $100 000 crime,BRULE1,9/22/2021,Account - Devonshire Square Condo Association,Overdue
DEVOSQU-01,Devonshire Square Condo Association,*QTE,Philly D&O Quote,BRULE1,9/22/2021,Account - Devonshire Square Condo Association,Overdue
DIAMBAR-02,Diamond Bar Tennis Club Community Association,CNPR,DON NOC eff 2/1/22,ABEDE1,1/17/2022,Policy - CPKG - CBP2120121-00,Overdue
DIAMBAY-02,Village Of Diamond Bay HOA Inc.,RNWL,Review coverage limits for REN,FITME1,12/1/2021,Account - Village Of Diamond Bay HOA Inc.,Overdue
DIAMCRE-02,Diamond Creek HOA,REVI,Review coverage limits for REN,ARRCA1,1/9/2022,Policy - CPKG - CAU508262,Overdue
DIAMHEI-01,Diamond Heights Homeowners Association,REVI,Review coverage limits for REN,CADJE1,6/10/2021,Policy - CPKG - CAU500410-4,Overdue
DIAMHIL-01,Diamond Hills Ranch Maint Corp,RPOL,Pkg/CR policy here?,ARRCA1,6/28/2021,Account - Diamond Hills Ranch Maint Corp,Overdue
DIAMRID-04,Diamond Ridge Owners Assn,REVI,Review coverage limits for REN,GAMAU1,12/28/2021,Policy - CPKG - CAU507694,Overdue
DIAMTRE-01,Diamond Tree Estates HOA,REQF,Request for Financials - Diamond Tree Estates HOA,GIALE1,12/16/2021,Account - Diamond Tree Estates HOA,Overdue
DIPLHOA-02,The Diplomat HOA,CALL,still need signed forms,SMIJO1,3/31/2021,Account - The Diplomat HOA,Overdue
DIPLHOA-02,The Diplomat HOA,RNWL,D&O effective 3/31/2022,SMIJO1,12/1/2021,Policy - DOLI - ADOAZF143532402-004,Overdue
DIPLHOA-02,The Diplomat HOA,RNWL,Package effective 3/31/2022,SMIJO1,12/1/2021,Policy - CPKG - PHPK2234401,Overdue
DISCATT-01,Discovery At Tatum Place II HOA,RNWL,acct effective 2/22/2022,SMIJO1,11/1/2021,Policy - CPKG - SNI0005190-00,Overdue
DISCATT-02,Discovery at the Orchard,RPOL,Package Policy Here?,ARRCA1,9/14/2021,Account - Discovery at the Orchard,Overdue
DISCATV-01,Discovery at Villa De Paz HOA,DREN,need pckg policy / send all to ins when it comes in,SMIJO1,4/28/2021,Policy - CPKG - PHPK2262453,Overdue
DISCATV-01,Discovery at Villa De Paz HOA,RNWL,Acct effective 4/15/2022,SMIJO1,1/1/2022,Policy - CPKG - PHPK2262453,Overdue
DISTCOM-01,The District Community Association,APOL,Added CRIM policy effective 12/10/2021,HYCLE1,12/13/2021,Policy - CRIM - G72558649 001 ,Overdue
DISTCOM-01,The District Community Association,REQF,Request for Financials - The District Community Association,GIALE1,11/15/2021,Account - The District Community Association,Overdue
DISTCOM-01,The District Community Association,RNWL,Renewal of  effective,HYCLE1,11/5/2021,Account - The District Community Association,Overdue
DIVEASS-01,Diversified Association Management,REQF,Request for Financials - Diversified Association Management,GIALE1,12/16/2021,Account - Diversified Association Management,Overdue
DOBBCRO-02,Dobbins Crossing Homeowners Association of Phoenix,REQF,Request for Financials - Dobbins Crossing Homeowners Association of Phoenix,GIALE1,12/17/2021,Account - Dobbins Crossing Homeowners Association of Phoenix,Overdue
DOBBPLA-01,Dobbins Place HOA Inc.,@ADC,Address Applied to Other Items,NICTR1,9/21/2021,Account - Dobbins Place HOA Inc.,Overdue
DOBBPOI-01,Dobbins Point HOA,REQF,Request for Financials - Dobbins Point HOA,GIALE1,12/17/2021,Account - Dobbins Point HOA,Overdue
DOLPCOV-01,Dolphin Cove HOA,REVI,Review coverage limits for REN,PEUNA1,12/25/2021,Policy - CPKG - 2851591,Overdue
DOLPCOV-01,Dolphin Cove HOA,REVI,Review coverage limits for REN,PEUNA1,11/25/2021,LOB - EQKC - 04-7500073423-S-05,Overdue
DOMAHOA-01,Domani HOA,APOL,Added CPKG policy effective 8/15/2021,CANCR1,4/17/2021,Policy - CPKG - PHPK2298885,Overdue
DO-NCOU-01,Do-Nel Court HOA,APOL,Added DOLI policy effective 6/4/2021,TAHNI1,6/10/2021,Policy - DOLI - PCAP029247-0121,Overdue
DO-NCOU-01,Do-Nel Court HOA,APOL,Added CUMB policy effective 6/4/2021,TAHNI1,6/10/2021,Policy - CUMB - USL00656920U-66974-1,Overdue
DO-NCOU-01,Do-Nel Court HOA,APOL,Added CPKG policy effective 6/4/2021,TAHNI1,6/10/2021,Policy - CPKG - COA1000004279,Overdue
DO-NCOU-01,Do-Nel Court HOA,APOL,Added PROP policy effective 6/4/2021,TAHNI1,6/10/2021,Policy - PROP - COA1000004279,Overdue
DOOLMAR-01,Doolittle Marina HOA,SBAP,pkg/wc/cr,ARRCA1,5/1/2020,Policy - BOP  - 6807P1373612042,Overdue
DORAEST-01,Dorada Estates Homeowners Association,REQF,Request for Financials - Dorada Estates Homeowners Association,GIALE1,11/29/2021,Account - Dorada Estates Homeowners Association,Overdue
DOROCOU-01,Dorothy Court HOA,APOL,Added DOLI policy effective 7/19/2021,TAHNI1,7/22/2021,Policy - DOLI - PCAP029740-0121,Overdue
DOROCOU-01,Dorothy Court HOA,APOL,Added CRIM policy effective 7/19/2021,TAHNI1,7/22/2021,Policy - CRIM - 412101-13-38-92-0Y,Overdue
DOROSTR-01,Dorothy Street Condominium Asn,REVI,Review coverage limits for REN,CADJE1,9/11/2021,LOB - BOP  - 680-6914M301,Overdue
